DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
AV. OAXACA;EJE 2 PTE. MONTERREY;ROMA NORTE;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.165023;19.42141;19.42141,-99.165023;9m;WIFI GRATUITO_ACTIVO
AV. CHAPULTEPEC;AV. INSURGENTES SUR;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.162144;19.423714;19.423714,-99.162144;9m;SIN WIFI
EJE 2 SUR AV. YUCATAN;C. QUERETARO;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.16303;19.414188;19.414188,-99.16303;9m;WIFI GRATUITO_ACTIVO
AV. NUEVO LEÓN;AV. JUAN ESCUTIA;CONDESA;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.171826;19.413441;19.413441,-99.171826;9m;WIFI GRATUITO_ACTIVO
AV. SONORA;C. SINALOA;ROMA NORTE;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.172761;19.419402;19.419402,-99.172761;9m;WIFI GRATUITO_ACTIVO
C. MERIDA;C. COLIMA;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.157693;19.420437;19.420437,-99.157693;9m;WIFI GRATUITO_ACTIVO
C. FRONTERA;C. DURANGO;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.156494;19.421902;19.421902,-99.156494;9m;WIFI GRATUITO_ACTIVO
EJE 1 PONIENTE AV. CUAUHTEMOC;C. DURANGO;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.154094;19.422591;19.422591,-99.154094;9m;SIN WIFI
C. DR. LAVISTA;AV. CUAUHTEMOC;DOCTORES;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.153686;19.424128;19.424128,-99.153686;9m;WIFI GRATUITO_ACTIVO
C. DURANGO;C. VALLALODID;ROMA NORTE;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.168067;19.419544;19.419544,-99.168067;9m;SIN WIFI
C. ZACATECAS;C. MERIDA;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.156793;19.416299;19.416299,-99.156793;9m;WIFI GRATUITO_ACTIVO
AV. INSURGENTES;AV. DURANGO;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.164027;19.420359;19.420359,-99.164027;9m;WIFI GRATUITO_ACTIVO
C. GUANAJUATO;C. TONALA;ROMA;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.162242;19.416167;19.416167,-99.162242;9m;WIFI GRATUITO_ACTIVO
C. PUEBLA;AV. OAXACA;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.16422;19.422257;19.422257,-99.16422;9m;SIN WIFI
C. CORDOBA;C. GUANAJUATO;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.158223;19.416975;19.416975,-99.158223;9m;WIFI GRATUITO_ACTIVO
C. REAL DE ROMITA;C. GUAYMAS;ROMA;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.154857;19.423359;19.423359,-99.154857;9m;WIFI GRATUITO_ACTIVO
C. CORDOBA;C. DURANGO;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.159294;19.421258;19.421258,-99.159294;9m;WIFI GRATUITO_ACTIVO
AV. VERACRUZ;AV. CHAPULTEPEC;ROMA NORTE;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.176658;19.420103;19.420103,-99.176658;9m;WIFI GRATUITO_ACTIVO
C. NIÑOS HEROES;C. DR. GARCIA DIEGO;DOCTORES;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.150669;19.416358;19.416358,-99.150669;9m;WIFI GRATUITO_ACTIVO
EJE 3 SUR AV. BAJA CALIFORNIA;EJE 2 PTE. MONTERREY;ROMA SUR;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.161136;19.406315;19.406315,-99.161136;9m;WIFI GRATUITO_ACTIVO
C. MANZANILLO;C. TLAXCALA;ROMA SUR;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.165214;19.40767;19.40767,-99.165214;9m;SIN WIFI
C. TLACOTALPAN;EJE 3 SUR BAJA CALIFORNIA;ROMA SUR;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.166442;19.406006;19.406006,-99.166442;9m;SIN WIFI
EJE 3 PONIENTE MEDELLIN;C. TEHUANTEPEC;ROMA SUR;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.162859;19.404916;19.404916,-99.162859;9m;WIFI GRATUITO_ACTIVO
C. PUERTO MEXICO;C. QUINTANA ROO;ROMA SUR;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.16526;19.40532;19.40532,-99.16526;9m;WIFI GRATUITO_ACTIVO
VIADUCTO MIGUEL ALEMAN;C. PITAGORAS;PIEDAD NARVARTE;BENITO JUAREZ;N/A;N/A;-99.156972;19.4038;19.4038,-99.156972;20m;SIN WIFI
AV. INSURGENTES SUR;C. CAMPECHE;ROMA SUR;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.167254;19.409313;19.409313,-99.167254;9m;WIFI GRATUITO_ACTIVO
CIRCUITO INTERIOR CALZ. MELCHOR OCAMPO;C. RIÓ BALSAS;CUAUHTEMOC;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.172364;19.431277;19.431277,-99.172364;9m;WIFI GRATUITO_ACTIVO
CTO. INTERIOR MELCHOR OCAMPO;AVENIDA MARINA NACIONAL;VERONICA ANZURES;MIGUEL HIDALGO;N/A;N/A;-99.170073;19.436015;19.436015,-99.170073;20m;SIN WIFI
AV. PASEO DE LA REFORMA;C. RIO RHIN;CUAUAHTEMOC;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.163531;19.429264;19.429264,-99.163531;9m;SIN WIFI
C. RIO PANUCO;C. RIO SENA;CUAUHTEMOC;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.166496;19.431066;19.431066,-99.166496;9m;WIFI GRATUITO_ACTIVO
AV. RIO MISSISSIPI;AV. PASEO DE LA REFORMA;CUAUHTEMOC;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.171748;19.425422;19.425422,-99.171748;9m;SIN WIFI
AV. PASEO DE LA REFORMA;C. RIO RODANO;CUAUHTEMOC;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.175718;19.423439;19.423439,-99.175718;9m;SIN WIFI
C. RIO TIBER;C. RIO BALSAS;CUAUHTEMOC;CUAUHTEMOC;SIN BOTON;CON ALTAVOZ;-99.17044;19.432057;19.432057,-99.17044;9m;WIFI GRATUITO_ACTIVO
C. RIO LERMA;C. RIO MISISIPI;CUAUHTEMOC;CUAUHTEMOC;CON BOTON;CON ALTAVOZ;-99.172597;19.426777;19.426777,-99.172597;9m;WIFI GRATUITO_ACTIVO
C. OHIO;C. DAKOTA;NAPOLES;BENITO JUAREZ;N/A;N/A;-99.172758;19.398779;19.398779,-99.172758;20m;SIN WIFI
C. ADOLFO PRIETO;C. OBRERO MUNDIAL;DEL VALLE NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.165379;19.400693;19.400693,-99.165379;9m;WIFI GRATUITO_ACTIVO
C. SAN FRANCISCO;EJE 4 SUR XOLA;DEL VALLE NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.169367;19.398077;19.398077,-99.169367;9m;WIFI GRATUITO_ACTIVO
AVENIDA MAGDALENA;C. LUZ SAVIÑON;DEL VALLE NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.171134;19.39372;19.39372,-99.171134;9m;WIFI GRATUITO_ACTIVO
EJE 3 PTE. COYOACAN;EJE 5 SUR AV. EUGENIA;DEL VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.167013;19.387289;19.387289,-99.167013;9m;WIFI GRATUITO_ACTIVO
EJE 5 SUR AV. EUGENIA (1 DE MAYO);C. HERIBERTO FRIAS;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.161107;19.38602;19.38602,-99.161107;9m;WIFI GRATUITO_ACTIVO
AV. DIVISION DEL NORTE;C. SAN BORJA;DEL BALLE CENTRO;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.160486;19.3834;19.3834,-99.160486;9m;WIFI GRATUITO_ACTIVO
C. TEXAS;C. NUEVA YORK;NAPOLES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.177704;19.392602;19.392602,-99.177704;9m;WIFI GRATUITO_ACTIVO
AV. DIVISION DEL NORTE;EJE 6 SUR URRAZA;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.159826;19.381195;19.381195,-99.159826;9m;WIFI GRATUITO_ACTIVO
EJE 3 PTE. AMORES;EJE 6 SUR ANGEL URRAZA;DEL VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.166523;19.38287;19.38287,-99.166523;9m;WIFI GRATUITO_ACTIVO
C. PORFIRIO DIAZ;C. PATRICIO SANZ;DEL VALLE CENTRO;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.172426;19.381554;19.381554,-99.172426;9m;WIFI GRATUITO_ACTIVO
C. PILARES;EJE 3 PTE. AV. COYOACAN;DEL VALLE SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.169204;19.378439;19.378439,-99.169204;9m;WIFI GRATUITO_ACTIVO
EJE 2 PONIENTE GABRIEL MANCERA;EJE 7 SUR FELIX CUEVAS;DEL VALLE SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.167873;19.371373;19.371373,-99.167873;9m;WIFI GRATUITO_ACTIVO
C. PARROQUIA;EJE 3 PTE. AV. COYOACAN;DEL VALLE SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.171423;19.369535;19.369535,-99.171423;9m;WIFI GRATUITO_ACTIVO
C. RECREO;C. TIGRE;ACTIPAN;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.17847;19.370008;19.370008,-99.17847;9m;WIFI GRATUITO_ACTIVO
EJE 3 PTE. AV. COYOACAN;EJE 8 SUR JOSE MARIA RICO;DEL VALLE SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.172116;19.367366;19.367366,-99.172116;9m;WIFI GRATUITO_ACTIVO
EJE 5 SUR EUGENIA;C. LA QUEMADA;NARVARTE ORIENTE;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.149973;19.384358;19.384358,-99.149973;9m;WIFI GRATUITO_ACTIVO
AV. CALIFORNIA;C. SANTA MARGARITA;INSURGENTES SAN BORJA;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.173827;19.382411;19.382411,-99.173827;9m;WIFI GRATUITO_ACTIVO
EJE 5 SUR SAN ANTONIO;PERIFERICO BLVRD ADOLFO L. MATEOS;NONOALCO;BENITO JUAREZ;N/A;N/A;-99.190562;19.384717;19.384717,-99.190562;20m;SIN WIFI
C. OBRERO MUNDIAL;EJE 1 PONIENTE CUAUHTEMOC;PIEDAD NARVARTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.155751;19.401858;19.401858,-99.155751;9m;WIFI GRATUITO_ACTIVO
C. OBRERO MUNDIAL;C. XOCHICALCO;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.153275;19.40186;19.40186,-99.153275;9m;SIN WIFI
C. ZACAHUITZCO;C. MONACO;MARIA DEL CARMEN;BENITO JUAREZ;SIN BOTON;SIN ALTAVOZ;-99.137733;19.37543;19.37543,-99.137733;9m;WIFI GRATUITO_ACTIVO
EJE 4 SUR XOLA;C. HERIBERTO FRIAS;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.15966;19.396044;19.396044,-99.15966;9m;WIFI GRATUITO_ACTIVO
C. LUZ SAVIÑON;C. ADOLFO PRIETO;DEL VALLE NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.167333;19.392874;19.392874,-99.167333;9m;WIFI GRATUITO_ACTIVO
C. PEDRO ROMERO DE TERREROS;EJE 1 PTE. AV CUAUHTEMOC;NARVARTE PONIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.156302;19.393817;19.393817,-99.156302;9m;WIFI GRATUITO_ACTIVO
C. BENITO JUAREZ;C. PROLONGACION LOURDES;ALBERT;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.139429;19.371208;19.371208,-99.139429;9m;WIFI GRATUITO_ACTIVO
C. ROMERO DE TERREROS;C. XOCHICALCO;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.153943;19.393816;19.393816,-99.153943;9m;WIFI GRATUITO_ACTIVO
C. ISABEL VDA. DE BETTY;C. ZEMPOALA;VERTIZ NARVATE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.149469;19.382863;19.382863,-99.149469;9m;WIFI GRATUITO_ACTIVO
C. LUZ SAVIÑON;C. JUAN SANCHEZ AZCONA;NARVARTE PONIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.160646;19.391398;19.391398,-99.160646;9m;WIFI GRATUITO_ACTIVO
C. CONCEPCION BEISTEGUI;C. J. ENRIQUE PESTALOZZI;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.159261;19.387901;19.387901,-99.159261;9m;WIFI GRATUITO_ACTIVO
C. C. BEISTEGUI;C. NICOLAS SAN JUAN;NARVARTE PONIENTE;TLALPAN;CON BOTON;CON ALTAVOZ;-99.162005;19.388676;19.388676,-99.162005;9m;WIFI GRATUITO_ACTIVO
EJE 5 SUR EUGENIA;C. PITAGORAS;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.158992;19.38538;19.38538,-99.158992;9m;WIFI GRATUITO_ACTIVO
AV. UNIVERSIDAD;C. SAN BORJA;NARVARTE PONIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.156837;19.382698;19.382698,-99.156837;9m;WIFI GRATUITO_ACTIVO
AV. FCO. FDEZ. DEL CASTILLO;C. JAVIER SORONDO;VILLA DE CORTES;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.135956;19.386086;19.386086,-99.135956;9m;WIFI GRATUITO_ACTIVO
AV. DIAGONAL DE SAN ANTONIO;C. ZEMPOALA;NARVARTE ORIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.148064;19.400554;19.400554,-99.148064;9m;WIFI GRATUITO_ACTIVO
C. DIAG. SAN ANTONIO;AV. DR. JOSE MARIA VERTIZ;NARVARTE ORIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.151053;19.398807;19.398807,-99.151053;9m;WIFI GRATUITO_ACTIVO
C. LA MORENA;C. MITLA;NARVARTE ORIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.149529;19.398162;19.398162,-99.149529;9m;WIFI GRATUITO_ACTIVO
C. MORENA;C. ZEMPOALA;NARVARTE ORIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.148253;19.398161;19.398161,-99.148253;9m;WIFI GRATUITO_ACTIVO
C. SORIA;EJE CENTRAL LAZARO CARDENAS;ALAMOS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.145538;19.398197;19.398197,-99.145538;9m;WIFI GRATUITO_ACTIVO
C. DIAGONAL SAN ANTONIO;C. UXMAL;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.154461;19.396907;19.396907,-99.154461;9m;WIFI GRATUITO_ACTIVO
C. CUMBRES DE MALTRATA;C. MONTE ALBAN;NARVARTE ORIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.15064;19.391063;19.391063,-99.15064;9m;WIFI GRATUITO_ACTIVO
EJE 4 SUR XOLA;C. XOCHICALCO;NARVARTE PONIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.153812;19.395543;19.395543,-99.153812;9m;WIFI GRATUITO_ACTIVO
AV. UNIVERSIDAD;C. I. TORRES ADALID;NARVARTE ORIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.153415;19.388846;19.388846,-99.153415;9m;WIFI GRATUITO_ACTIVO
AVENIDA DR. J. MA. VERTIZ;C. TORRES ADALID;NARVARTE ORIENTE;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.151649;19.38841;19.38841,-99.151649;9m;WIFI GRATUITO_ACTIVO
AV. JOSE MARIA VERTIZ;EJE 5 SUR EUGENIA;NARVARTE ORIENTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.152478;19.384572;19.384572,-99.152478;9m;WIFI GRATUITO_ACTIVO
C. CASTILLA;EJE 4 SUR XOLA;ALAMOS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.143306;19.394557;19.394557,-99.143306;9m;WIFI GRATUITO_ACTIVO
C. FERNANDO;C. 5 DE FEBRERO;ALAMOS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.138568;19.400164;19.400164,-99.138568;9m;WIFI GRATUITO_ACTIVO
C. SEGOVIA;C. ANDALUCIA;ALAMOS;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.141501;19.400604;19.400604,-99.141501;9m;WIFI GRATUITO_ACTIVO
C. TOKIO;C. BULGARIA;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.152095;19.372101;19.372101,-99.152095;9m;WIFI GRATUITO_ACTIVO
C. SEVILLA;AV. PRESIDENTES;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.151824;19.368188;19.368188,-99.151824;9m;WIFI GRATUITO_ACTIVO
AVENIDA DR. J. MA. VERTIZ;ENTRE C. NECAXA Y AVENIDA VICTOR HUGO;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.154875;19.371909;19.371909,-99.154875;9m;WIFI GRATUITO_ACTIVO
C. AZORES;AV. VICTOR HUGO;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.154208;19.371196;19.371196,-99.154208;9m;WIFI GRATUITO_ACTIVO
C. FILIPINAS;AV. EMPERADORES;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.14808;19.366339;19.366339,-99.14808;9m;WIFI GRATUITO_ACTIVO
EJE 7-A SUR AV. EMILIANO ZAPATA;AV. DIVISION DEL NORTE;SANTA CRUZ ATOYAC;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.155755;19.366332;19.366332,-99.155755;9m;SIN WIFI
CIRCUITO INTERIOR AV. RIO CHURUBUSCO;C. BELGICA;PORTALES SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.147111;19.357609;19.357609,-99.147111;9m;WIFI GRATUITO_ACTIVO
C. BELGICA;C. NEVADO;PORTALES SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.14677;19.359535;19.359535,-99.14677;9m;WIFI GRATUITO_ACTIVO
C. GOLF;CTO. INTERIOR AV. RIO CHURUBUSCO;CHURUBUSCO COUNTRY CLUB;COYOACAN;N/A;N/A;-99.140502;19.35681;19.35681,-99.140502;20m;SIN WIFI
C. HAMBURGO;C. MIRA VALLE;ALBERT;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.139074;19.368948;19.368948,-99.139074;9m;WIFI GRATUITO_ACTIVO
EJE 7-A SUR GRAL. EMILIANO ZAPATA;AV. PDTE. PLUTARCO E. CALLES;PORTALES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.138727;19.363734;19.363734,-99.138727;9m;WIFI GRATUITO_ACTIVO
C. MIRAMAR;CALZ. ERMITA IZTAPALA;MIRAVALLE;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.14238;19.35999;19.35999,-99.14238;9m;SIN WIFI
EJE 7-A SUR EMILIANO ZAPATA;AVENIDA MEXICO COYOACAN;SANTA CRUZ ATOYAC;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.163329;19.370148;19.370148,-99.163329;9m;WIFI GRATUITO_ACTIVO
PROL. UXMAL;EJE 8 SUR AV. POPOCATEPETL;GRAL. PEDRO MA. ANAYA;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.160236;19.363539;19.363539,-99.160236;9m;WIFI GRATUITO_ACTIVO
EJE 1 PTE. AV. CUAUHTEMOC;EJE 7-A SUR AV. EMILIANO ZAPATA;SANTA CRUZ ATOYAC;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.161681;19.369291;19.369291,-99.161681;9m;WIFI GRATUITO_ACTIVO
C. SAN LORENZO;C. ANAXAGORAS;SANTA CRUZ ATOYAC;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.161608;19.372156;19.372156,-99.161608;9m;WIFI GRATUITO_ACTIVO
C. TOKIO;EJE 7 SUR MUNICIPIO LIBRE;PORTALES NORTE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.152559;19.369616;19.369616,-99.152559;9m;WIFI GRATUITO_ACTIVO
EJE 1 PTE. CUAUHTEMOC;C. SANTISIMA;SANTA CRUZ ATOYAC;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.161984;19.367077;19.367077,-99.161984;9m;WIFI GRATUITO_ACTIVO
C. RIFF;C. VISTAHERMOSA;C. GRAL. PEDRO MA. ANAYA;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.156073;19.359789;19.359789,-99.156073;9m;WIFI GRATUITO_ACTIVO
C. RUMANIA;EJE 8 SUR AV. POPOCATEPETL;PORTALES SUR;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.147609;19.3606;19.3606,-99.147609;9m;WIFI GRATUITO_ACTIVO
C. TENAYUCA;CJON. DE LA MISERICORDIA;SANTA CRUZ ATOYAC;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.160558;19.36997;19.36997,-99.160558;9m;WIFI GRATUITO_ACTIVO
AV. UNIVERSIDAD;ENTRE C. REAL DE MAYORAZGO Y C. RODRIGUEZ SARO;XOCO;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.16976;19.363153;19.363153,-99.16976;9m;SIN WIFI
C. KANSAS;C. PENNSYLVANIA;AMPLIACION NAPOLES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.177413;19.387749;19.387749,-99.177413;9m;WIFI GRATUITO_ACTIVO
VIADUCTO RIO BECERRA;C. NUEVA YORK;NAPOLES;BENITO JUAREZ;N/A;N/A;-99.179223;19.396893;19.396893,-99.179223;20m;SIN WIFI
C. CHICAGO;C. ALTADENA;NAPOLES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.175118;19.396798;19.396798,-99.175118;9m;WIFI GRATUITO_ACTIVO
C. MONTECITO;AVENIDA INSURGENTES SUR;NAPOLES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.172373;19.394577;19.394577,-99.172373;9m;WIFI GRATUITO_ACTIVO
C. GEORGIA;AVENIDA INSURGENTES SUR;NAPOLES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.173835;19.390075;19.390075,-99.173835;9m;WIFI GRATUITO_ACTIVO
C. PTE. DE LA MORENA;C. 11 DE ABRIL;SAN PEDRO DE LOS PINOS;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.182204;19.396764;19.396764,-99.182204;9m;WIFI GRATUITO_ACTIVO
CIRCUITO INTERIOR PATRIOTISMO;ENTRE C. 5 Y C. 7;SAN PEDRO DE LOS PINOS;BENITO JUAREZ;N/A;N/A;-99.181991;19.393366;19.393366,-99.181991;20m;SIN WIFI
CALLE 21;C. AVENIDA 2;SAN PEDRO DE LOS PINOS;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.184337;19.387579;19.387579,-99.184337;9m;WIFI GRATUITO_ACTIVO
CIRCUITO INTERIOR PATRIOTISMO;C. 27;SAN PEDRO DE LOS PINOS;BENITO JUAREZ;N/A;N/A;-99.182758;19.385548;19.385548,-99.182758;20m;SIN WIFI
C. GIOTTO;C. MIGUEL ANGEL;MIXCOAC;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.188769;19.374986;19.374986,-99.188769;9m;WIFI GRATUITO_ACTIVO
C. FELIX PARRA;C. JOSE MA. VELASCO;SAN JOSE INSURGENTES;BENITO JUAREZ;SIN BOTON;SIN ALTAVOZ;-99.184916;19.364244;19.364244,-99.184916;9m;WIFI GRATUITO_ACTIVO
C. MIGUEL NOREÑA;C. PLATEROS;SAN JOSE INSURGENTES;BENITO JUAREZ;SIN BOTON;SIN ALTAVOZ;-99.187442;19.363781;19.363781,-99.187442;9m;WIFI GRATUITO_ACTIVO
C. ISABEL LA CATOLICA;C. ROMERO;NIÑOS HEROES;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.143031;19.385077;19.385077,-99.143031;9m;WIFI GRATUITO_ACTIVO
C. CHICHENITZA;C. XOCHICALCO;LETRAN VALLE;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.156413;19.376824;19.376824,-99.156413;9m;WIFI GRATUITO_ACTIVO
C. LUIS G. INCLAN;C. PEDRO SANTACILIA;IZTACCIHUATL;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.136377;19.388914;19.388914,-99.136377;9m;WIFI GRATUITO_ACTIVO
AV. DON JUAN;C. JUSTINA;NATIVITAS;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.136313;19.380853;19.380853,-99.136313;9m;WIFI GRATUITO_ACTIVO
C. JUANA DE ARCO;C. ANTONIO MAURA;MODERNA;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.136535;19.395285;19.395285,-99.136535;9m;WIFI GRATUITO_ACTIVO
C. JUANA DE ARCO;C. LATINOS;MODERNA;BENITO JUAREZ;SIN BOTON;SIN ALTAVOZ;-99.133182;19.394809;19.394809,-99.133182;9m;WIFI GRATUITO_ACTIVO
C. MIGUEL CERVANTES;C. ANTONIO MAURA;MODERNA;BENITO JUAREZ;CON BOTON;SIN ALTAVOZ;-99.136913;19.392004;19.392004,-99.136913;9m;WIFI GRATUITO_ACTIVO
C. JUANA DE ARCO;C. JORGE WASHINGTON;MODERNA;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.134077;19.394935;19.394935,-99.134077;9m;WIFI GRATUITO_ACTIVO
C. NELSON;C. MANUEL ACUÑA;MODERNA;BENITO JUAREZ;SIN BOTON;SIN ALTAVOZ;-99.133497;19.395911;19.395911,-99.133497;9m;WIFI GRATUITO_ACTIVO
C. CUMBRES DE MALTRATA;C. LAGO PONIENTE;AMERICAS UNIDAS;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.142588;19.379727;19.379727,-99.142588;9m;WIFI GRATUITO_ACTIVO
EJE 5 SUR SAN ANTONIO;C. MIGUEL ANGEL;NONOALCO;BENITO JUAREZ;SIN BOTON;CON ALTAVOZ;-99.18761;19.385154;19.385154,-99.18761;9m;SIN WIFI
C. HOLBEIN;C. AUGUSTO RODIN;SAN JUAN;BENITO JUAREZ;CON BOTON;CON ALTAVOZ;-99.181548;19.380325;19.380325,-99.181548;9m;WIFI GRATUITO_ACTIVO
