DIRECCIÓN;ESQUINA;COLONIA;ALCALDIA;BOTON;ALTAVOZ;LONGITUD;LATITUD;geopoint;TIPO DE POSTE;ESTATUS CONECTIVIDAD
AV. TABASCO PTE;AGUASCALIENTES NTE;PUEBLO VILLA MILPA ALTA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.025303;19.19386;19.19386,-99.025303;9m;WIFI GRATUITO_ACTIVO
CHIAPAS SUR;GUANAJUATO PTE;PUEBLO VILLA MILPA ALTA;MILPA ALTA;SIN BOTON;SIN ALTAVOZ;-99.024712;19.191112;19.191112,-99.024712;9m;SIN WIFI
C. TEPETIPAC;C. JUAN ESCUTIA;PUEBLO SN. ANTONIO TECOMITL;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.993093;19.211846;19.211846,-98.993093;9m;SIN WIFI
C. ITURBIDE;C. ITURBIDE;PUEBLO SN. SALVADOR CUAUHTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.093799;19.190801;19.190801,-99.093799;9m;SIN WIFI
AVENIDA JUAREZ;C. TEPECUENTECH;PUEBLO SN. SALVADOR CUAUHTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.095645;19.193195;19.193195,-99.095645;9m;SIN WIFI
MAXULCO;BOULEVARD JOSE LOPEZ PORTILLO SUR;PUEBLO SN. ANTONIO TECOMITL;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.999791;19.209324;19.209324,-98.999791;9mIR;WIFI GRATUITO_ACTIVO
AVENIDA MIGUEL HIDALGO;C. TLALOC;NUSHTLA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.04667;19.203291;19.203291,-99.04667;9mIR;WIFI GRATUITO_ACTIVO
C. BARRANCA SECA;C. MANUEL DOBLADO;PUEBLO SN. ANTONIO TECOMITL;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.990391;19.215316;19.215316,-98.990391;9mIR;WIFI GRATUITO_ACTIVO
PROL. JALAPA;UBICADO POR GEOREFERENCIA;N/A;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.105268;19.172231;19.172231,-99.105268;9mIR;SIN WIFI
CARRETERA FEDERAL MEXICO-OAXTEPEC;CAMINO A SANTA ANA TLACOTENCO;PUEBLO SANTA ANA TLACOTENCO;MILPA ALTA;CON BOTON;CON ALTAVOZ;-98.971843;19.143936;19.143936,-98.971843;9mIR;WIFI GRATUITO_ACTIVO
C. CAMINO DE LA AMISTAD;C. SIN NOMBRE;SANTA CECILIA TEPETLAPA;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.087855;19.21131;19.21131,-99.087855;9mIR;WIFI GRATUITO_ACTIVO
AVENIDA FABIAN FLORES PTE;C. MONTE ALEGRE SUR;PUEBLO SN. PABLO OZTOTEPEC;MILPA ALTA;CON BOTON;CON ALTAVOZ;-99.07875;19.188783;19.188783,-99.07875;9mIR;SIN WIFI
AVENIDA ESTANISLAO RAMIREZ RUIZ;EJE 10 SUR CARRETERA A SANTA CATARINA;AMPLIACION SELENE;TLAHUAC;N/A;N/A;-98.998058;19.294078;19.294078,-98.998058;20m;WIFI GRATUITO_ACTIVO
AV. TLAHUAC;C. ELIXIR DE AMOR;NOPALERA;TLAHUAC;N/A;N/A;-99.051942;19.301228;19.301228,-99.051942;20m;SIN WIFI
FC SAN RAFAEL ATLIXCO;ENTRE C. MAR DEL NECTAR Y C. RIACHUELO SERPENTINO;EL TRIANGULO TLALTENCO;TLAHUAC;N/A;N/A;-99.012668;19.28278;19.28278,-99.012668;20m;SIN WIFI
AV. TLÁHUAC;C. FCO JAVIER MINA;BARRIO LA ASUNCION;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.005006;19.271782;19.271782,-99.005006;9m;WIFI GRATUITO_ACTIVO
AVENIDA F.C. SN. RAFAEL ATLIXCO;ENTRE C. ANTONIO BEJAR Y C. ANDREW ALMAZAN;OJO DE AGUA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.015028;19.287615;19.287615,-99.015028;9m;SIN WIFI
20 DE NOVIEMBRE;CANAL SECO;BARRIO SAN MIGUEL;TLAHUAC;SIN BOTON;SIN ALTAVOZ;-98.962039;19.223952;19.223952,-98.962039;9m;WIFI GRATUITO_ACTIVO
C. MANTARAYA;C. HUACHINANGO;DEL MAR;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.055881;19.29462;19.29462,-99.055881;9m;WIFI GRATUITO_ACTIVO
C. LAS PALMAS;C. CANARIAS;FRACC. GRANJAS CABRERA;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.063574;19.302281;19.302281,-99.063574;9m;WIFI GRATUITO_ACTIVO
AVENIDA OJO DE AGUA;AVENIDA PASEO NUEVO;GUADALUPE TLALTENCO;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.01501;19.292134;19.292134,-99.01501;9m;SIN WIFI
C. PABLO GONZALEZ;C. CARLOS A. VIDAL;PUEBLO SAN FRANCISCO TLALTENCO;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.011736;19.295324;19.295324,-99.011736;9m;SIN WIFI
C. CASTULO GARCIA;AGUSTIN DIAZ;LA CONCHITA ZAPOTITLAN;TLAHUAC;CON BOTON;CON ALTAVOZ;-99.030533;19.29121;19.29121,-99.030533;9m;WIFI GRATUITO_ACTIVO
EMILIO LAURENT;SIMON ALVAREZ;"LA CONCHITA ""B""";TLAHUAC;CON BOTON;CON ALTAVOZ;-99.034587;19.285895;19.285895,-99.034587;9m;WIFI GRATUITO_ACTIVO
LUCIANO BECERRA;MAGDALENO ITA;LA CONCHITA;TLAHUAC;SIN BOTON;CON ALTAVOZ;-99.038338;19.289573;19.289573,-99.038338;9m;WIFI GRATUITO_ACTIVO
CARMEN SERDAN;LAZARO CARDENAS;DR. FRANCISCO CABRERA;TLAHUAC;SIN BOTON;SIN ALTAVOZ;-99.060088;19.296282;19.296282,-99.060088;9m;SIN WIFI
